Title,Count of tasks_to_dwas.csv
Structural Metal Fabricators and Fitters,30
Speech-Language Pathologists,30
Set and Exhibit Designers,30
"Recreation and Fitness Studies Teachers, Postsecondary",30
Printing Press Operators,30
Print Binding and Finishing Workers,30
"Physics Teachers, Postsecondary",30
Photonics Technicians,30
"Paving, Surfacing, and Tamping Equipment Operators",30
Neurologists,30
"Mining and Geological Engineers, Including Mining Safety Engineers",30
Mechatronics Engineers,30
Library Technicians,30
Legislators,30
"Law Teachers, Postsecondary",30
Laundry and Dry-Cleaning Workers,30
"Hairdressers, Hairstylists, and Cosmetologists",30
Funeral Home Managers,30
Fundraisers,30
Fuel Cell Engineers,30
First-Line Supervisors of Retail Sales Workers,30
First-Line Supervisors of Food Preparation and Serving Workers,30
Emergency Management Directors,30
Commercial Divers,30
Brownfield Redevelopment Specialists and Site Managers,30
Biostatisticians,30
Automotive Engineers,30
Audiologists,30
Atmospheric and Space Scientists,30
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",30
Acute Care Nurses,30
Tree Trimmers and Pruners,31
Treasurers and Controllers,31
Surveying and Mapping Technicians,31
Surgical Assistants,31
Soil and Plant Scientists,31
Sales Engineers,31
Roofers,31
Recreation Workers,31
Physical Therapist Assistants,31
Photographic Process Workers and Processing Machine Operators,31
Occupational Therapy Assistants,31
Natural Sciences Managers,31
"Molders, Shapers, and Casters, Except Metal and Plastic",31
Medical and Health Services Managers,31
Manufacturing Engineers,31
Loss Prevention Managers,31
Human Resources Specialists,31
Geothermal Technicians,31
Freight Forwarders,31
First-Line Supervisors of Office and Administrative Support Workers,31
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",31
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",31
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",31
"Family and Consumer Sciences Teachers, Postsecondary",31
"Education Teachers, Postsecondary",31
"Criminal Justice and Law Enforcement Teachers, Postsecondary",31
Conveyor Operators and Tenders,31
Compensation and Benefits Managers,31
Architectural and Engineering Managers,31
Airfield Operations Specialists,31
"Agricultural Sciences Teachers, Postsecondary",31
Advertising Sales Agents,31
Water/Wastewater Engineers,32
Semiconductor Processing Technicians,32
Respiratory Therapists,32
Quality Control Systems Managers,32
Music Therapists,32
Loan Officers,32
"Loading and Moving Machine Operators, Underground Mining",32
Licensed Practical and Licensed Vocational Nurses,32
"Geography Teachers, Postsecondary",32
"Foreign Language and Literature Teachers, Postsecondary",32
Food Service Managers,32
Fishing and Hunting Workers,32
Financial and Investment Analysts,32
Executive Secretaries and Executive Administrative Assistants,32
Etchers and Engravers,32
Environmental Engineering Technologists and Technicians,32
Embalmers,32
Electrical Engineers,32
"Computer, Automated Teller, and Office Machine Repairers",32
Computer Network Support Specialists,32
"Child, Family, and School Social Workers",32
Cardiologists,32
